order_id,order_date,customer_id,product_id,quantity,unit_price,region,Unnamed: 7
O1001,2024-01-01,C001,P001,2,24.99,East,
O1002,2024-01-01,C002,P010,1,1099.0,West,
O1003,2024-01-01,C003,P003,5,3.5,North,
O1004,2024-01-01,,P005,3,12.0,East,
O1005,2024-01-01,C004,P002,10,8.99,west,
O1006,2024-01-01,C005,P007,1,49.95,South,
O1007,2024-01-01,C006,P099,2,15.0,East,
O1008,2024-01-01,C007,P008,0,9.99,North,
O1009,2024-01-01,C008,P004,1,29.99,West,
O1010,2024-01-01,C009,P006,4,7.5,South,
O1011,2024-01-01,C010,P001,1,24.99,East,EXTRA_FLAG
O1012,2024-01-01,C011,P010,1,1099.0,West,
